Frame,Condition,X1,Y1,X2,Y2,Confidence,Width,Beyblade Type,Status,Match Duration for All Frames (seconds)
112,spinning,81,295,225,391,0.8362131714820862,144,Beyblade 1,Loser,11.3
113,spinning,117,210,207,284,0.9673996567726135,90,Beyblade 2,Winner,11.3
113,spinning,77,296,218,396,0.8696219325065613,141,Beyblade 1,Loser,11.3
114,spinning,112,203,203,275,0.9376928806304932,91,Beyblade 2,Winner,11.3
114,spinning,74,298,216,400,0.8698264360427856,142,Beyblade 1,Loser,11.3
115,spinning,111,198,198,270,0.9400226473808289,87,Beyblade 2,Winner,11.3
115,spinning,75,301,216,400,0.9056065082550049,141,Beyblade 1,Loser,11.3
116,spinning,106,195,194,267,0.9535712003707886,88,Beyblade 2,Winner,11.3
116,spinning,77,301,219,401,0.900241494178772,142,Beyblade 1,Loser,11.3
117,spinning,102,194,191,265,0.9191594123840332,89,Beyblade 2,Winner,11.3
117,spinning,79,300,220,400,0.9090853929519653,141,Beyblade 1,Loser,11.3
118,spinning,100,195,189,267,0.9144335985183716,89,Beyblade 2,Winner,11.3
118,spinning,80,297,222,399,0.8944074511528015,142,Beyblade 1,Loser,11.3
119,spinning,96,195,186,268,0.9384181499481201,90,Beyblade 2,Winner,11.3
119,spinning,82,294,227,395,0.818095326423645,145,Beyblade 1,Loser,11.3
120,spinning,95,196,184,270,0.9515235424041748,89,Beyblade 2,Winner,11.3
120,spinning,86,291,226,388,0.8936992883682251,140,Beyblade 1,Loser,11.3
121,spinning,94,197,183,272,0.962890088558197,89,Beyblade 2,Winner,11.3
121,spinning,88,288,227,385,0.9127195477485657,139,Beyblade 1,Loser,11.3
122,spinning,92,200,183,275,0.9581457376480103,91,Beyblade 2,Winner,11.3
122,spinning,89,283,227,380,0.8867491483688354,138,Beyblade 1,Loser,11.3
123,spinning,92,202,180,277,0.9572726488113403,88,Beyblade 2,Winner,11.3
123,spinning,89,280,227,375,0.9230806231498718,138,Beyblade 1,Loser,11.3
124,spinning,92,198,180,274,0.9669123888015747,88,Beyblade 2,Winner,11.3
124,spinning,90,280,227,376,0.9284842014312744,137,Beyblade 1,Loser,11.3
125,spinning,91,199,180,275,0.9638972878456116,89,Beyblade 2,Winner,11.3
125,spinning,90,280,228,375,0.9296035766601562,138,Beyblade 1,Loser,11.3
126,spinning,91,200,180,275,0.9629148244857788,89,Beyblade 2,Winner,11.3
126,spinning,89,278,227,375,0.9219396114349365,138,Beyblade 1,Loser,11.3
127,spinning,92,194,180,269,0.955001950263977,88,Beyblade 2,Winner,11.3
127,spinning,89,282,227,382,0.8873447775840759,138,Beyblade 1,Loser,11.3
128,spinning,94,189,184,264,0.9525912404060364,90,Beyblade 2,Winner,11.3
128,spinning,86,287,227,388,0.9113381505012512,141,Beyblade 1,Loser,11.3
129,spinning,95,186,184,261,0.9452518224716187,89,Beyblade 2,Winner,11.3
129,spinning,87,291,228,391,0.9055609107017517,141,Beyblade 1,Loser,11.3
130,spinning,96,187,186,262,0.9350453615188599,90,Beyblade 2,Winner,11.3
130,spinning,89,292,229,391,0.9122430086135864,140,Beyblade 1,Loser,11.3
131,spinning,99,188,186,263,0.9114317297935486,87,Beyblade 2,Winner,11.3
131,spinning,91,292,233,392,0.885341227054596,142,Beyblade 1,Loser,11.3
132,spinning,100,191,189,267,0.9322089552879333,89,Beyblade 2,Winner,11.3
132,spinning,93,290,236,388,0.899313747882843,143,Beyblade 1,Loser,11.3
133,spinning,100,193,190,271,0.9128857254981995,90,Beyblade 2,Winner,11.3
133,spinning,98,287,241,387,0.9016916751861572,143,Beyblade 1,Loser,11.3
134,spinning,101,196,191,274,0.9592112898826599,90,Beyblade 2,Winner,11.3
134,spinning,102,284,240,384,0.9105901718139648,138,Beyblade 1,Loser,11.3
135,spinning,104,198,192,277,0.9653019309043884,88,Beyblade 2,Winner,11.3
135,spinning,104,281,243,379,0.9121288061141968,139,Beyblade 1,Loser,11.3
136,spinning,106,201,195,281,0.9444031119346619,89,Beyblade 2,Winner,11.3
136,spinning,104,278,242,375,0.937838077545166,138,Beyblade 1,Loser,11.3
137,spinning,108,183,195,260,0.9634301066398621,87,Beyblade 2,Winner,11.3
137,spinning,106,291,248,395,0.8850604295730591,142,Beyblade 1,Loser,11.3
138,spinning,108,169,198,247,0.9110956788063049,90,Beyblade 2,Winner,11.3
138,spinning,107,304,253,407,0.8208627104759216,146,Beyblade 1,Loser,11.3
139,spinning,110,158,200,237,0.9310550689697266,90,Beyblade 2,Winner,11.3
139,spinning,109,311,256,408,0.8683370351791382,147,Beyblade 1,Loser,11.3
140,spinning,112,157,201,234,0.9432222843170166,89,Beyblade 2,Winner,11.3
140,spinning,112,318,256,409,0.830883264541626,144,Beyblade 1,Loser,11.3
141,spinning,113,156,202,233,0.9439895153045654,89,Beyblade 2,Winner,11.3
141,spinning,115,319,259,410,0.8488485217094421,144,Beyblade 1,Loser,11.3
142,spinning,115,159,204,236,0.9627004861831665,89,Beyblade 2,Winner,11.3
142,spinning,117,319,262,409,0.865195095539093,145,Beyblade 1,Loser,11.3
143,spinning,116,160,206,240,0.9685190916061401,90,Beyblade 2,Winner,11.3
143,spinning,121,317,265,409,0.8364897966384888,144,Beyblade 1,Loser,11.3
144,spinning,116,168,206,246,0.9545408487319946,90,Beyblade 2,Winner,11.3
144,spinning,122,312,268,408,0.8720656633377075,146,Beyblade 1,Loser,11.3
145,spinning,117,176,206,253,0.9622959494590759,89,Beyblade 2,Winner,11.3
145,spinning,124,307,268,409,0.868582546710968,144,Beyblade 1,Loser,11.3
146,spinning,117,181,208,260,0.9439361095428467,91,Beyblade 2,Winner,11.3
146,spinning,126,301,265,405,0.9111794829368591,139,Beyblade 1,Loser,11.3
147,spinning,118,188,209,268,0.9410340189933777,91,Beyblade 2,Winner,11.3
147,spinning,125,294,266,396,0.8505760431289673,141,Beyblade 1,Loser,11.3
148,spinning,120,196,211,274,0.9327755570411682,91,Beyblade 2,Winner,11.3
148,spinning,125,288,266,386,0.8992873430252075,141,Beyblade 1,Loser,11.3
149,spinning,122,204,213,283,0.916050136089325,91,Beyblade 2,Winner,11.3
149,spinning,125,283,262,380,0.8945546746253967,137,Beyblade 1,Loser,11.3
150,spinning,124,204,215,282,0.921559751033783,91,Beyblade 2,Winner,11.3
150,spinning,123,283,263,383,0.8955514430999756,140,Beyblade 1,Loser,11.3
151,spinning,127,201,217,279,0.9552785754203796,90,Beyblade 2,Winner,11.3
151,spinning,121,290,262,388,0.8912217020988464,141,Beyblade 1,Loser,11.3
152,spinning,130,202,221,279,0.9497836828231812,91,Beyblade 2,Winner,11.3
152,spinning,119,295,262,397,0.8386432528495789,143,Beyblade 1,Loser,11.3
153,spinning,131,203,223,281,0.9391399025917053,92,Beyblade 2,Winner,11.3
153,spinning,118,297,260,399,0.8795406818389893,142,Beyblade 1,Loser,11.3
154,spinning,135,205,224,285,0.8986896276473999,89,Beyblade 2,Winner,11.3
154,spinning,116,299,257,399,0.8904578685760498,141,Beyblade 1,Loser,11.3
155,spinning,136,210,227,289,0.9007552862167358,91,Beyblade 2,Winner,11.3
155,spinning,116,299,256,399,0.892457902431488,140,Beyblade 1,Loser,11.3
156,spinning,137,214,227,297,0.9268828630447388,90,Beyblade 2,Winner,11.3
156,spinning,113,299,255,399,0.8776243925094604,142,Beyblade 1,Loser,11.3
157,spinning,138,220,227,303,0.9091258645057678,89,Beyblade 2,Winner,11.3
157,spinning,112,298,254,397,0.8608607053756714,142,Beyblade 1,Loser,11.3
158,spinning,142,215,233,295,0.962557315826416,91,Beyblade 2,Winner,11.3
158,spinning,110,304,251,399,0.8591101765632629,141,Beyblade 1,Loser,11.3
159,spinning,148,208,238,287,0.9287294745445251,90,Beyblade 2,Winner,11.3
159,spinning,105,309,249,408,0.8635542988777161,144,Beyblade 1,Loser,11.3
160,spinning,152,205,242,281,0.9424101710319519,90,Beyblade 2,Winner,11.3
160,spinning,103,312,244,408,0.9016655683517456,141,Beyblade 1,Loser,11.3
161,spinning,155,202,245,281,0.9599407315254211,90,Beyblade 2,Winner,11.3
161,spinning,102,314,243,408,0.9121679067611694,141,Beyblade 1,Loser,11.3
162,spinning,156,203,246,280,0.937677800655365,90,Beyblade 2,Winner,11.3
162,spinning,102,315,243,408,0.904422402381897,141,Beyblade 1,Loser,11.3
163,spinning,157,204,247,281,0.9275179505348206,90,Beyblade 2,Winner,11.3
163,spinning,99,315,242,408,0.896807074546814,143,Beyblade 1,Loser,11.3
164,spinning,157,206,247,284,0.9355356693267822,90,Beyblade 2,Winner,11.3
164,spinning,98,315,242,408,0.8826732635498047,144,Beyblade 1,Loser,11.3
165,spinning,157,209,247,287,0.9508683085441589,90,Beyblade 2,Winner,11.3
165,spinning,98,314,242,408,0.8687570691108704,144,Beyblade 1,Loser,11.3
166,spinning,156,214,246,292,0.9459145665168762,90,Beyblade 2,Winner,11.3
166,spinning,98,311,241,408,0.8603047728538513,143,Beyblade 1,Loser,11.3
167,spinning,155,219,245,297,0.9378889203071594,90,Beyblade 2,Winner,11.3
167,spinning,98,310,241,407,0.8327009677886963,143,Beyblade 1,Loser,11.3
168,spinning,154,224,243,301,0.9555679559707642,89,Beyblade 2,Winner,11.3
168,spinning,97,308,243,407,0.8342275023460388,146,Beyblade 1,Loser,11.3
169,spinning,152,229,242,305,0.9348958134651184,90,Beyblade 2,Winner,11.3
169,spinning,96,307,237,404,0.8342798352241516,141,Beyblade 1,Loser,11.3
170,spinning,153,230,242,305,0.9315618276596069,89,Beyblade 2,Winner,11.3
170,spinning,91,307,233,402,0.8875730037689209,142,Beyblade 1,Loser,11.3
171,spinning,169,215,257,292,0.9527515769004822,88,Beyblade 2,Winner,11.3
