Frame,Beyblade Type,Condition,X1,Y1,X2,Y2,Confidence,Width,Status,Collision,Time Per Frame (secs),Time (secs)
104,Beyblade 2,spinning,163,208,253,276,0.9354079961776733,90,Winner,No,0.03333333333333333,3.466666666666667
104,Beyblade 1,spinning,80,292,223,388,0.8602217435836792,143,Loser,No,0.03333333333333333,3.466666666666667
105,Beyblade 2,spinning,153,211,244,281,0.9643985629081726,91,Winner,No,0.03333333333333333,3.5
105,Beyblade 1,spinning,86,292,227,388,0.8956228494644165,141,Loser,No,0.03333333333333333,3.5
106,Beyblade 2,spinning,145,217,236,286,0.9096307754516602,91,Winner,No,0.03333333333333333,3.533333333333333
106,Beyblade 1,spinning,94,291,237,387,0.88409423828125,143,Loser,No,0.03333333333333333,3.533333333333333
107,Beyblade 1,spinning,103,290,242,386,0.9246553182601929,139,Loser,Yes,0.03333333333333333,3.5666666666666664
107,Beyblade 2,spinning,139,220,230,292,0.9077197909355164,91,Winner,Yes,0.03333333333333333,3.5666666666666664
108,Beyblade 1,spinning,103,293,242,389,0.9121947884559631,139,Loser,No,0.03333333333333333,3.6
108,Beyblade 2,spinning,137,220,228,289,0.9117356538772583,91,Winner,No,0.03333333333333333,3.6
109,Beyblade 2,spinning,135,221,226,290,0.925091028213501,91,Winner,No,0.03333333333333333,3.6333333333333333
109,Beyblade 1,spinning,99,294,240,392,0.8907684683799744,141,Loser,No,0.03333333333333333,3.6333333333333333
110,Beyblade 2,spinning,132,219,223,291,0.9234327673912048,91,Winner,No,0.03333333333333333,3.6666666666666665
110,Beyblade 1,spinning,91,296,233,397,0.8816522359848022,142,Loser,No,0.03333333333333333,3.6666666666666665
111,Beyblade 2,spinning,125,219,217,291,0.9231947064399719,92,Winner,No,0.03333333333333333,3.6999999999999997
111,Beyblade 1,spinning,84,296,229,396,0.8621282577514648,145,Loser,No,0.03333333333333333,3.6999999999999997
112,Beyblade 2,spinning,120,219,211,291,0.9202371835708618,91,Winner,No,0.03333333333333333,3.7333333333333334
112,Beyblade 1,spinning,81,295,225,391,0.8362131714820862,144,Loser,No,0.03333333333333333,3.7333333333333334
113,Beyblade 2,spinning,117,210,207,284,0.9673996567726135,90,Winner,No,0.03333333333333333,3.7666666666666666
113,Beyblade 1,spinning,77,296,218,396,0.8696219325065613,141,Loser,No,0.03333333333333333,3.7666666666666666
114,Beyblade 2,spinning,112,203,203,275,0.9376928806304932,91,Winner,No,0.03333333333333333,3.8
114,Beyblade 1,spinning,74,298,216,400,0.8698264360427856,142,Loser,No,0.03333333333333333,3.8
115,Beyblade 2,spinning,111,198,198,270,0.9400226473808289,87,Winner,No,0.03333333333333333,3.8333333333333335
115,Beyblade 1,spinning,75,301,216,400,0.9056065082550049,141,Loser,No,0.03333333333333333,3.8333333333333335
116,Beyblade 2,spinning,106,195,194,267,0.9535712003707886,88,Winner,No,0.03333333333333333,3.8666666666666667
116,Beyblade 1,spinning,77,301,219,401,0.900241494178772,142,Loser,No,0.03333333333333333,3.8666666666666667
117,Beyblade 2,spinning,102,194,191,265,0.9191594123840332,89,Winner,No,0.03333333333333333,3.9
117,Beyblade 1,spinning,79,300,220,400,0.9090853929519653,141,Loser,No,0.03333333333333333,3.9
118,Beyblade 2,spinning,100,195,189,267,0.9144335985183716,89,Winner,No,0.03333333333333333,3.933333333333333
118,Beyblade 1,spinning,80,297,222,399,0.8944074511528015,142,Loser,No,0.03333333333333333,3.933333333333333
119,Beyblade 2,spinning,96,195,186,268,0.9384181499481201,90,Winner,No,0.03333333333333333,3.966666666666667
119,Beyblade 1,spinning,82,294,227,395,0.818095326423645,145,Loser,No,0.03333333333333333,3.966666666666667
120,Beyblade 2,spinning,95,196,184,270,0.9515235424041748,89,Winner,No,0.03333333333333333,4.0
120,Beyblade 1,spinning,86,291,226,388,0.8936992883682251,140,Loser,No,0.03333333333333333,4.0
121,Beyblade 2,spinning,94,197,183,272,0.962890088558197,89,Winner,No,0.03333333333333333,4.033333333333333
121,Beyblade 1,spinning,88,288,227,385,0.9127195477485657,139,Loser,No,0.03333333333333333,4.033333333333333
122,Beyblade 2,spinning,92,200,183,275,0.9581457376480103,91,Winner,No,0.03333333333333333,4.066666666666666
122,Beyblade 1,spinning,89,283,227,380,0.8867491483688354,138,Loser,No,0.03333333333333333,4.066666666666666
123,Beyblade 2,spinning,92,202,180,277,0.9572726488113403,88,Winner,No,0.03333333333333333,4.1
123,Beyblade 1,spinning,89,280,227,375,0.9230806231498718,138,Loser,No,0.03333333333333333,4.1
124,Beyblade 2,spinning,92,198,180,274,0.9669123888015747,88,Winner,No,0.03333333333333333,4.133333333333333
124,Beyblade 1,spinning,90,280,227,376,0.9284842014312744,137,Loser,No,0.03333333333333333,4.133333333333333
125,Beyblade 2,spinning,91,199,180,275,0.9638972878456116,89,Winner,No,0.03333333333333333,4.166666666666667
125,Beyblade 1,spinning,90,280,228,375,0.9296035766601562,138,Loser,No,0.03333333333333333,4.166666666666667
126,Beyblade 2,spinning,91,200,180,275,0.9629148244857788,89,Winner,No,0.03333333333333333,4.2
126,Beyblade 1,spinning,89,278,227,375,0.9219396114349365,138,Loser,No,0.03333333333333333,4.2
127,Beyblade 2,spinning,92,194,180,269,0.955001950263977,88,Winner,No,0.03333333333333333,4.233333333333333
127,Beyblade 1,spinning,89,282,227,382,0.8873447775840759,138,Loser,No,0.03333333333333333,4.233333333333333
128,Beyblade 2,spinning,94,189,184,264,0.9525912404060364,90,Winner,No,0.03333333333333333,4.266666666666667
128,Beyblade 1,spinning,86,287,227,388,0.9113381505012512,141,Loser,No,0.03333333333333333,4.266666666666667
129,Beyblade 2,spinning,95,186,184,261,0.9452518224716187,89,Winner,No,0.03333333333333333,4.3
129,Beyblade 1,spinning,87,291,228,391,0.9055609107017517,141,Loser,No,0.03333333333333333,4.3
130,Beyblade 2,spinning,96,187,186,262,0.9350453615188599,90,Winner,No,0.03333333333333333,4.333333333333333
130,Beyblade 1,spinning,89,292,229,391,0.9122430086135864,140,Loser,No,0.03333333333333333,4.333333333333333
131,Beyblade 2,spinning,99,188,186,263,0.9114317297935486,87,Winner,No,0.03333333333333333,4.366666666666666
